"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z","Rgd_Avail","NDVI","Alt","Forest"
"AH19",0.635491214,0.72730208,1.216763035,-0.279804738,58.6015015,0.170904,2636.100098,2113
"AH20",2.718938073,0.126148532,0.460068113,-0.251689895,84.9188995,0.137292,2275.26001,2445
"AH21",1.207609007,0.203036521,1.458991769,-0.326549898,65.8283005,0.141591,2751.610107,1561
"AH22",1.128466418,-0.410779669,2.367616388,-0.458740469,64.828598,0.107271,3184.899902,0
"AH23",-0.026512031,0.21621783,2.002920913,-0.458740469,50.2392998,0.142328,3010.98999,0
"AH24",-0.181875711,-0.177415052,1.505881224,-0.458740469,48.2767982,0.120319,2773.969971,0
"AH25",-0.524055517,-0.835707878,0.420161443,-0.458740469,43.9544983,0.0835122,2256.229981,0
"AH26",2.448649048,-0.794098222,0.201608335,-0.458740469,81.5046997,0.0858387,2152.01001,0
"AH27",2.139615891,0.265312395,0.492572183,-0.458740469,77.6010971,0.145073,2290.76001,0
"AH28",0.622483987,0.48292025,-0.088474665,-0.374395941,58.4371986,0.15724,2013.680054,996
"AH29",0.912905199,-0.086397844,-0.825038085,-0.452727958,62.1057014,0.125408,1662.439941,71
"AH35",-0.811365279,-0.005539365,-0.308600806,-0.458740469,40.3252983,0.129929,1908.709961,0
"AH36",-0.407506941,0.174187876,-0.056746489,-0.458740469,45.4267006,0.139978,2028.810059,0
"AH37",0.127679903,-0.084180093,-0.646475356,-0.458740469,52.1870003,0.125532,1747.589966,0
"AH38",0.046977811,-0.006308424,-1.063366106,-0.458740469,51.1675987,0.129886,1548.790039,0
"AH41",-0.921738666,0.427279744,0.435448922,-0.458740469,38.9310989,0.154129,2263.52002,0
"AH42",-0.554835139,0.487516717,0.749270266,-0.44603798,43.5657005,0.157497,2413.169922,150
"AH43",-0.4907026,0.688867028,0.841225532,-0.436553455,44.3758011,0.168755,2457.02002,262
"AH44",0.021185641,1.004950173,0.770513514,-0.458740469,50.8418007,0.186428,2423.300049,0
"AH45",0.537135104,1.157974979,0.987325917,-0.458740469,57.3591003,0.194984,2526.689941,0
"AH46",0.201280578,0.998261151,1.040884318,-0.458740469,53.1166992,0.186054,2552.229981,0
"AH47",-0.095323376,0.897067328,1.113819317,-0.458740469,49.3700981,0.180396,2587.01001,0
"AH48",-0.450391422,0.934858517,1.135922166,-0.458740469,44.8849983,0.182509,2597.550049,0
"AH49",-0.609143176,1.349864079,1.306222438,-0.458740469,42.8796997,0.205713,2678.76001,0
"AH50",0.600428403,1.423389672,1.151670933,-0.417584404,58.1585999,0.209824,2605.060059,486
"AH51",1.365870017,1.193405336,1.444773799,-0.339929853,67.8274002,0.196965,2744.830078,1403
"AH52",0.781497273,1.658900499,1.042352141,-0.335611007,60.4458008,0.222992,2552.929932,1454
"AH53",1.227084052,1.403072213,1.30385252,-0.208332065,66.0743027,0.208688,2677.629883,2957
"AH54",0.067727273,1.915211683,0.822792497,0.436192239,51.4296989,0.237323,2448.229981,10568
"AH55",0.045457877,1.140769525,1.210786275,1.583311701,51.1483994,0.194022,2633.25,24114
"AH56",0.152640987,3.064256991,0.278905334,2.181429578,52.5023003,0.301569,2188.870117,31177
"AH57",0.064244065,3.559012156,0.511592449,3.916589608,51.3857002,0.329232,2299.830078,51667
"AH58",-0.45711262,4.086049904,-0.265506599,1.838293002,44.8000984,0.3587,1929.26001,27125
"AI20",2.957425837,-0.288159512,-0.226984044,-0.416398838,87.9313965,0.114127,1947.630005,500
"AI21",1.862653382,0.514076072,1.481618366,-0.24898003,74.1026001,0.158982,2762.399902,2477
"AI22",1.034520044,-0.2118975,1.569127668,-0.455268456,63.6418991,0.118391,2804.129883,41
"AI23",0.066056946,-0.049232633,1.592467953,-0.458740469,51.4085999,0.127486,2815.26001,0
"AI24",0.473073846,0.198618905,1.687652225,-0.458740469,56.5499001,0.141344,2860.649902,0
"AI25",0.214525168,-0.090600839,1.300015291,-0.458740469,53.2840004,0.125173,2675.800049,0
